Master;Type;Source;Buckets;Template_Name;Date;version
15;W;WEB_15_7;15_Electrique_CCB3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CCB3_V47;17/6/2020;47
15;D;15_5;15_Electrique_CC1H_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1H_V47;17/6/2020;47
15;W;WEB_15_5;15_Electrique_CC1H_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1H_V47;17/6/2020;47
15;D;15_1;15_Electrique_CC1C_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1C_V47;17/6/2020;47
15;W;WEB_15_1;15_Electrique_CC1C_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1C_V47;17/6/2020;47
15;D;15_2;15_Electrique_CC1E_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1E_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1E_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1E_V47;17/6/2020;47
15;D;15_3;15_Electrique_CC1P11_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1P11_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CC1P11_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1P11_V47;17/6/2020;47
15;D;15_7;15_Electrique_CC1P12_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1P12_V47;17/6/2020;47
15;W;WEB_15_7;15_Electrique_CC1P12_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1P12_V47;17/6/2020;47
15;D;15_1;15_Electrique_CC1D_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1D_V47;17/6/2020;47
15;W;WEB_15_1;15_Electrique_CC1D_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1D_V47;17/6/2020;47
15;D;15_7;15_Electrique_CC1I_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1I_V47;17/6/2020;47
15;W;WEB_15_7;15_Electrique_CC1I_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1I_V47;17/6/2020;47
15;D;15_5;15_Electrique_CC1I1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1I1_V47;17/6/2020;47
15;W;WEB_15_5;15_Electrique_CC1I1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1I1_V47;17/6/2020;47
15;D;15_6;15_Electrique_CC1I2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1I2_V47;17/6/2020;47
15;W;WEB_15_6;15_Electrique_CC1I2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1I2_V47;17/6/2020;47
15;D;15_1;15_Electrique_CC1Z_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1Z_V47;17/6/2020;47
15;W;WEB_15_1;15_Electrique_CC1Z_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1Z_V47;17/6/2020;47
15;D;15_4;15_Electrique_CC1I3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1I3_V47;17/6/2020;47
15;W;WEB_15_4;15_Electrique_CC1I3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1I3_V47;17/6/2020;47
15;D;15_1;15_Electrique_CC1X_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1X_V47;17/6/2020;47
15;W;WEB_15_1;15_Electrique_CC1X_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1X_V47;17/6/2020;47
15;D;15_1;15_Electrique_CC1Y_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1Y_V47;17/6/2020;47
15;W;WEB_15_1;15_Electrique_CC1Y_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1Y_V47;17/6/2020;47
15;D;15_2;15_Electrique_CC1I4_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1I4_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1I4_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1I4_V47;17/6/2020;47
15;D;15_5;15_Electrique_CC1J_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1J_V47;17/6/2020;47
15;W;WEB_15_5;15_Electrique_CC1J_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1J_V47;17/6/2020;47
15;D;15_2;15_Electrique_CC1T_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1T_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1T_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1T_V47;17/6/2020;47
