Code Compteur;Le Compteur;Energie;Compteur Parent;Le Compteur Parent;Compteur_Level;PC_Production;PC_Distribution;PC_Consommation;Point de Production;Point de Distribution;Point de Consommation;Description;type;parent energie;Ratio;Unite;Master;COMs (Gate:PortTCP:Sortie:Channel:Device);Parse Formule;User Formule;Date Modify;Date Load;Nbr Error;Detailles Nom;Nom Ratio;Access_Group
CEC2;Refectoire Eau;Eau;CEC;Facility Eau;3;*;*;M290;*;*;Refectoire;CEB1D1+CES1B;Usine;*;*;Refectoires;*;*;CEB1D1~+~CES1B~;CB14_Vest+Refect~+~CS6_refectoire ~;;;0;Refectoire Eau;*;*
CEB1D;Refectoire EB;Eau Brute;CEBB;Facility EB;3;*;M1V1;M290;*;Bassin1000;Refectoire;F(CEB1D);Usine;Eau;*;Refectoires;*;*;F~(~CEB1D~)~;F~(~Refectoire EB~)~;;;0;Refectoire Eau Brute;*;*
CEB1D1;CB14_Vest+Refect;Eau Brute;CEB1D;Refectoire EB;4;*;M1V1;M290;*;Bassin1000;Refectoire;Reel;Process;Eau;*;Refectoires;!~*;!~*;;;;;2;CB14_Vestiaire-et-Refectoire ;*;*
CES1B;CS6_refectoire ;Eau Sonede;CES1;CS1_SONEDE;3;M1S0;*;M290;SONEDE;*;Refectoire;Reel;Usine;Eau;*;Refectoires;!~;!~;;;;;3;CS6_refectoire ;*;*
