Channel;Device;GateID;N ID;Address;Description;Multiply factor 1;Gate Type 1;GateID1;N ID 1;Operation;Multiply factor 2;Gate Type 2;GateID2;N ID 2;Measured val. 1;Engineering val. 1;Measured val. 2;Engineering val. 2;Decimal digits;Record on historical file;Enable writing to device;Access groups;Apply decimal factor;From gate;Decimal Digits Gate Type;Decimal Digits Gate ID;Decimal Digits N Id
0;0;CMPGate;24;;Name_Ratio M-1;1;NUM;NUMGate;24;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;25;;Name_Cons Gaz A;1;CMP;CMPGate;925;*;1;NUM;NUMGate;33;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;925;;Name_Cons Gaz A Aux;1;CMP;CMPGate;32;-;1;NUM;NUMGate;38;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;26;;Name_INC A;1;CMP;CMPGate;926;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;926;;Name_INC A Aux;1;NUM;NUMGate;31;-;1;NUM;NUMGate_A-1;1;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;27;;Name_Ratio A;1;CMP;CMPGate;25;/;1;CMP;CMPGate;927;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;927;;Name_Ratio A Aux;1;CMP;Prod;1;DISCARD Lo;1;NUM;ONE;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;28;;Name_Cons Gaz A-1;1;NUM;NUMGate;28;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;29;;Name_INC A-1;1;NUM;NUMGate;29;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;30;;Name_Ratio A-1;1;NUM;NUMGate;30;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;31;;Name_Nombre incidents total Index;1;NUM;NUMGate;31;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;32;;Name_Total INC Checks;1;NUM;NUMGate;32;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;33;;Name_Conformite_B;1;NUM;NUMGate;33;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;34;;Name_Conformite_B-1;1;NUM;NUMGate;34;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;35;;Name_Conformite_J;1;NUM;NUMGate;35;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;36;;Name_Conformite_J-1;1;NUM;NUMGate;36;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
